date,title,type
2026-09-01,国际复材:公司未来三年(2026年-2028年)股东回报规划,其他
2026-09-01,国际复材:关于公司2026年度向特定对象发行A股股票预案披露的提示性公告,增发提示性公告
2026-09-01,国际复材:2026年度向特定对象发行A股股票方案论证分析报告,其他
2026-09-01,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司开展外汇衍生品套期保值交易业务的核查意见,保荐/核查意见
2026-09-01,国际复材:关于最近五年被证券监管部门和交易所处罚或采取监管措施情况的公告,处罚
2026-09-01,国际复材:关于公司3600万米高频高速电子纤维布项目变更调整的公告,其他
2026-09-01,国际复材:前次募集资金使用情况报告,募集资金使用情况报告
2026-09-01,国际复材:关于公司向特定对象发行A股股票摊薄即期回报及填补措施与相关主体承诺,其他
2026-09-01,国际复材:关于开展外汇衍生品套期保值业务的可行性分析报告,其他
2026-09-01,国际复材:前次募集资金使用情况的鉴证报告,保荐/核查意见
2026-09-01,国际复材:向特定对象发行A股股票募集资金使用可行性分析报告,其他
2026-09-01,国际复材:第三届董事会第二十一次会议决议公告,"增发预案,董事会决议公告"
2026-09-01,国际复材:2026年度向特定对象发行A股股票预案,增发预案
2026-09-01,国际复材:关于开展外汇衍生品套期保值交易业务的公告,其他
2026-09-01,国际复材:关于本次向特定对象发行股票不存在直接或通过利益相关方向参与认购的投资者提供财务资助或补偿的公告,获得补贴（资助）
2026-09-01,国际复材:关于召开2026年第三次临时股东会的通知,召开股东大会通知
2026-08-26,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司2026年半年度持续督导跟踪报告,保荐/核查意见
2026-08-21,国际复材:2026年8月20日投资者关系活动记录表,调研活动
2026-08-20,国际复材:关于2026年半年度计提资产减值准备的公告,其他
2026-08-20,国际复材:2026年半年度非经营性资金占用及其他关联资金往来情况汇总表,资金占用
2026-08-20,国际复材:第三届董事会第二十次会议决议公告,董事会决议公告
2026-08-20,国际复材:2026年半年度报告,半年度报告全文
2026-08-20,国际复材:关于“质量回报双提升”行动方案的进展公告,其他
2026-08-20,国际复材:2026年半年度报告摘要,半年度报告摘要
2026-08-07,国际复材:国际复材2026年第二次临时股东会法律意见书,法律意见书
2026-08-07,国际复材:2026年第二次临时股东会决议公告,"股东大会决议公告,高管人员任职变动"
2026-08-07,国际复材:关于选举公司董事长、董事会专门委员会委员的公告,高管人员任职变动
2026-08-07,国际复材:关于为全资子公司担保的进展公告,提供/对外担保公告
